kalibracja_20_96_5_uW_1.ptu	 	 	kalibracja_20_96_5_uW_2.ptu	 	 	kalibracja_20_96_5_uW_3.ptu	 	 	kalibracja_20_96_5_uW_4.ptu	 	 	kalibracja_20_96_5_uW_5.ptu	 	 	kalibracja_20_96_5_uW_6.ptu	 	 	kalibracja_20_96_5_uW_7.ptu	 	 	kalibracja_20_96_5_uW_8.ptu	 	 	kalibracja_20_96_5_uW_9.ptu	 	 	kalibracja_20_96_5_uW_10.ptu	 	 
Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []	Correlation time[ms]	G(t)[]	켇rr []
0.001749993000028	1.28162752370041	0.255128071908162	0.001749993000028	1.31789515947463	0.164497167328617	0.001749993000028	1.43843947837972	0.206810221122492	0.001749993000028	1.39842428080212	0.288102250624931	0.001749993000028	1.22968402820784	0.217601512113169	0.001749993000028	2.37784518988914	0.267342140696914	0.001749993000028	1.64596061571748	0.319232698053375	0.001749993000028	1.05070959761823	0.477795490435573	0.001749993000028	1.7784878447893	0.305021069470452	0.001749993000028	1.45181192543503	0.431858172532231
0.0018499926000296	1.73138055113509	0.341481689759962	0.0018499926000296	1.44650735432616	0.217826274403328	0.0018499926000296	1.72715267806206	0.295246122243771	0.0018499926000296	1.88416262961627	0.23588849295876	0.0018499926000296	1.29212817313657	0.260176921921025	0.0018499926000296	1.78033497585008	0.238256427855337	0.0018499926000296	1.25416377135701	0.437848751045047	0.0018499926000296	1.82136878823747	0.277354670378232	0.0018499926000296	1.63499188999021	0.355008348289245	0.0018499926000296	1.67755181941404	0.294944677354789
0.0019499922000312	1.65188443375125	0.233084162978375	0.0019499922000312	1.47531010118174	0.255564080231256	0.0019499922000312	1.19970006775891	0.330095381894232	0.0019499922000312	1.60737117238176	0.25206039807606	0.0019499922000312	1.4592106857064	0.192654397067748	0.0019499922000312	1.76966946154167	0.205175690926016	0.0019499922000312	1.50396121821472	0.340521283078202	0.0019499922000312	1.67442983603882	0.347698365138697	0.0019499922000312	1.30498416766368	0.27782867633118	0.0019499922000312	1.49148584480366	0.35668762132281
0.0020499918000328	1.42317675795336	0.209754958250056	0.0020499918000328	1.31809214467366	0.108806754540967	0.0020499918000328	1.30081400276054	0.140926108105506	0.0020499918000328	1.99981040012977	0.266725972349772	0.0020499918000328	1.55167850588812	0.303768300048737	0.0020499918000328	1.50355465680439	0.263689696818007	0.0020499918000328	1.74407804637811	0.293732966304301	0.0020499918000328	2.53392424135454	0.319906571888276	0.0020499918000328	2.00616136648082	0.354067603828066	0.0020499918000328	0.856715719748025	0.181297156540057
0.0021499914000344	1.53023955574796	0.201657610842612	0.0021499914000344	1.40076648170269	0.305599778117375	0.0021499914000344	0.867677082803287	0.297956571851616	0.0021499914000344	1.40076459587448	0.332769001220507	0.0021499914000344	1.37416605338362	0.277171454659088	0.0021499914000344	1.35213175631607	0.193288540271472	0.0021499914000344	1.25313172690571	0.376112813844979	0.0021499914000344	1.29645333060543	0.317583010142857	0.0021499914000344	2.5457588281855	0.250357299852935	0.0021499914000344	1.80569643708888	0.341713975844158
0.002249991000036	1.10723982252469	0.25522933727847	0.002249991000036	1.22094157697254	0.265692921564409	0.002249991000036	1.49086715473182	0.177009184903123	0.002249991000036	1.87015098697823	0.181752237053894	0.002249991000036	1.18063939903713	0.222213226389917	0.002249991000036	1.74150879345711	0.220243179752752	0.002249991000036	1.9744208194221	0.288730341988046	0.002249991000036	1.71012391413944	0.251984828334066	0.002249991000036	1.72218893608757	0.280870968639072	0.002249991000036	1.46755539322477	0.24637979801465
0.0023499906000376	1.41349352727162	0.215859659625532	0.0023499906000376	1.6577038708643	0.175978611857114	0.0023499906000376	1.61412132108032	0.206755618774452	0.0023499906000376	1.57204114460855	0.198017769207531	0.0023499906000376	1.40825861562454	0.232108920800614	0.0023499906000376	1.13220675715281	0.287634584964453	0.0023499906000376	1.61891738942199	0.260712982807836	0.0023499906000376	1.14858213082017	0.170301877341858	0.0023499906000376	1.79597085854227	0.2490575786425	0.0023499906000376	1.8218192737721	0.378051142134645
0.0024499902000392	1.51330363922472	0.297101301455275	0.0024499902000392	1.36536154664387	0.184098663697153	0.0024499902000392	1.32518577910134	0.275483748685956	0.0024499902000392	1.47064522095394	0.154406060555158	0.0024499902000392	1.70025330517636	0.260890583954117	0.0024499902000392	0.94914601531651	0.296064326334614	0.0024499902000392	1.67003864513838	0.209620935810997	0.0024499902000392	1.46617533621989	0.253470360450003	0.0024499902000392	1.19561810603179	0.277739024672195	0.0024499902000392	1.50672982489009	0.1914353916197
0.0025499898000408	1.36151542757201	0.200167582577261	0.0025499898000408	1.4591327217627	0.207289177888171	0.0025499898000408	1.72768928650632	0.309764844109518	0.0025499898000408	2.07158488106454	0.242285405064233	0.0025499898000408	1.51679452877002	0.273726562136427	0.0025499898000408	1.72355643589968	0.401343785606181	0.0025499898000408	1.645136617164	0.241954060712459	0.0025499898000408	1.323530359065	0.311390164028197	0.0025499898000408	1.80380619539886	0.244822470460584	0.0025499898000408	1.32219134033668	0.240612525521305
0.0026499894000424	1.31661581160243	0.30459540472592	0.0026499894000424	1.38767606389318	0.280190970766075	0.0026499894000424	1.17204172778711	0.199004405323399	0.0026499894000424	1.32944408199289	0.249550820741012	0.0026499894000424	1.40896768247236	0.290597971812242	0.0026499894000424	1.91388271193755	0.296094179752322	0.0026499894000424	1.37563255612794	0.226762965397151	0.0026499894000424	1.98379093560621	0.329934137120155	0.0026499894000424	1.49761866965661	0.305492983278364	0.0026499894000424	1.56768820835778	0.444744573417026
0.002749989000044	2.09208689089291	0.183133029664656	0.002749989000044	1.34956485326133	0.350869893204325	0.002749989000044	1.71068009943059	0.211182747288434	0.002749989000044	1.50338875821119	0.17785213379359	0.002749989000044	1.46978194915156	0.201630031767834	0.002749989000044	1.25519372002468	0.27291197377763	0.002749989000044	1.42194117630421	0.277928033402841	0.002749989000044	1.5424055627247	0.398277614002884	0.002749989000044	1.71922933603808	0.264619346311554	0.002749989000044	1.57647678367069	0.26307731968025
0.0028999884000464	1.25256310013955	0.185121232326209	0.0028999884000464	1.32783866145083	0.284416584952874	0.0028999884000464	1.53296105178274	0.182486913334327	0.0028999884000464	1.13451429389269	0.181829218412403	0.0028999884000464	1.63839778909896	0.205023761682477	0.0028999884000464	1.47098195554851	0.187155072154578	0.0028999884000464	1.29324111802405	0.168733878386855	0.0028999884000464	1.44617192935417	0.157984509445746	0.0028999884000464	2.06507688830829	0.306749033976069	0.0028999884000464	1.70244804183922	0.198142524996326
0.0030999876000496	1.45766291946469	0.145397606364643	0.0030999876000496	1.40255711892702	0.115951331917143	0.0030999876000496	1.46746908236666	0.153001116396393	0.0030999876000496	1.79385572407702	0.226990164682106	0.0030999876000496	1.72716632327732	0.247189954841742	0.0030999876000496	1.51369989054031	0.16402094132622	0.0030999876000496	1.60109313980352	0.289953154275253	0.0030999876000496	1.77078670540263	0.174631902707917	0.0030999876000496	1.7549368466036	0.172630574600753	0.0030999876000496	1.83001840066685	0.192482777642627
0.0032999868000528	1.19757425205434	0.15591737358993	0.0032999868000528	1.29672561535082	0.158159893047622	0.0032999868000528	1.38992334158912	0.181492358222637	0.0032999868000528	1.4757666526843	0.160651876353489	0.0032999868000528	1.66315054681535	0.234595243597617	0.0032999868000528	1.50025608764237	0.126924663197074	0.0032999868000528	1.41094004963802	0.16859982144935	0.0032999868000528	1.91140021565976	0.207396640068708	0.0032999868000528	1.36123333512933	0.148089777488486	0.0032999868000528	1.87198678642212	0.158985698080046
0.003499986000056	1.19089044943481	0.220963365087497	0.003499986000056	1.44504620433369	0.12624742956949	0.003499986000056	1.18362392910545	0.183284768033104	0.003499986000056	1.14760199933321	0.185904420458106	0.003499986000056	1.29314835733442	0.300548110407752	0.003499986000056	1.36931345104286	0.197636251678556	0.003499986000056	1.70470894606204	0.108505186735468	0.003499986000056	1.64809421324778	0.266782800379165	0.003499986000056	1.49641148900885	0.2259063880777	0.003499986000056	1.53599885273514	0.167659204576294
0.0036999852000592	1.40535299778702	0.166171539647037	0.0036999852000592	1.33415829751298	0.104694370081136	0.0036999852000592	1.31597766550579	0.158058231041669	0.0036999852000592	1.40285564223282	0.282064411055803	0.0036999852000592	1.62660189964545	0.20437416218095	0.0036999852000592	1.66311248938621	0.210918264358316	0.0036999852000592	1.67066255098228	0.184825542666309	0.0036999852000592	1.5338196621097	0.222920239285376	0.0036999852000592	1.59521638542501	0.188718551491469	0.0036999852000592	1.47555227957603	0.241679644923548
0.0038999844000624	1.44677509085039	0.14415144043787	0.0038999844000624	1.47449266204239	0.119106164278977	0.0038999844000624	1.24109958045422	0.16838937806267	0.0038999844000624	1.25204891795003	0.165981669222134	0.0038999844000624	1.73261895698852	0.183423262703555	0.0038999844000624	1.48848127814303	0.142921345007449	0.0038999844000624	1.44009713386987	0.202314145149244	0.0038999844000624	1.66707863183239	0.118708033187117	0.0038999844000624	1.50624326413324	0.268000925661843	0.0038999844000624	1.78522890409552	0.292767842034261
0.0040999836000656	1.25950242591813	0.146660010169391	0.0040999836000656	1.84491935103555	0.204439395412287	0.0040999836000656	1.61489649553984	0.159920465360338	0.0040999836000656	1.38030262704639	0.124262185045497	0.0040999836000656	1.75772777840036	0.108179755923108	0.0040999836000656	1.91201360152873	0.157037773040571	0.0040999836000656	1.53841463593169	0.252991225771033	0.0040999836000656	1.28284868290172	0.215850351616278	0.0040999836000656	1.32077292993525	0.187277327238831	0.0040999836000656	1.41113745851752	0.160911809088677
0.0042999828000688	1.31787302190498	0.157855767380976	0.0042999828000688	1.41229628597611	0.194420929142465	0.0042999828000688	1.03962599857793	0.119295417417884	0.0042999828000688	1.33996348535599	0.232755360834505	0.0042999828000688	1.10028185878829	0.149521859057681	0.0042999828000688	1.43244818192261	0.11186021660791	0.0042999828000688	1.30313061892932	0.151479807434964	0.0042999828000688	1.36695374711139	0.205501377917358	0.0042999828000688	1.45741622852706	0.225380981778715	0.0042999828000688	1.26450473146901	0.268339760287275
